timestamp,frame_id,total_ms,fm_prep_ms,fm_2d_match_ms,fm_corres_ms,fm_ransac_ms,bundle_adjust_ms,others_ms,nerf_ms,nerf_n_frames,nerf_ms_per_frame
1765857865.6363437,1668813031673796655,161.1,11.1,89.1,0.7,20.4,22.9,17.0,n/a,n/a,n/a
1765857865.976192,1668813031739408294,147.8,10.5,79.6,0.6,18.1,24.3,14.6,n/a,n/a,n/a
1765857866.1311345,1668813031776664137,163.0,11.4,86.8,0.7,20.1,26.1,18.0,n/a,n/a,n/a
1765857866.301628,1668813031807598801,162.9,11.2,88.6,0.7,18.1,26.6,17.8,n/a,n/a,n/a
1765857866.4718418,1668813031842660991,157.8,11.1,89.5,0.7,17.7,23.8,15.1,n/a,n/a,n/a
1765857866.6370792,1668813031873333843,157.3,11.9,85.2,0.7,19.0,24.5,16.0,n/a,n/a,n/a
1765857866.8020465,1668813031908254929,160.4,11.5,87.7,0.7,17.8,25.8,16.8,n/a,n/a,n/a
1765857867.1435308,1668813031973774417,152.0,10.5,83.9,0.7,17.8,25.5,13.8,n/a,n/a,n/a
1765857867.3031712,1668813032007525519,241.5,19.0,139.7,0.9,34.5,26.3,21.1,n/a,n/a,n/a
1765857867.5520885,1668813032044323212,161.6,10.8,86.6,0.7,19.6,26.7,17.3,n/a,n/a,n/a
1765857867.8941808,1668813032106272847,218.9,18.2,134.5,0.8,29.1,19.5,16.7,n/a,n/a,n/a
1765857868.1202247,1668813032143621375,159.1,11.5,88.0,0.8,19.6,22.1,17.2,n/a,n/a,n/a
1765857868.2865195,1668813032184584314,161.6,11.0,87.3,0.7,18.4,27.0,17.2,n/a,n/a,n/a
1765857868.4554183,1668813032215585755,162.8,11.5,89.8,0.7,18.4,26.9,15.4,n/a,n/a,n/a
1765857868.6254308,1668813032243389524,154.8,11.0,84.9,0.7,19.9,22.5,15.8,n/a,n/a,n/a
1765857868.7875133,1668813032272388029,159.3,11.0,88.2,0.7,18.3,25.3,15.7,n/a,n/a,n/a
1765857869.1316347,1668813032339914429,153.4,10.0,80.5,0.7,16.6,29.5,16.1,n/a,n/a,n/a
1765857869.292247,1668813032377679532,168.7,11.1,90.9,0.8,18.9,28.2,18.8,n/a,n/a,n/a
1765857869.4682302,1668813032418583675,163.4,11.1,90.2,0.8,17.0,28.5,15.9,n/a,n/a,n/a
1765857869.6390965,1668813032442256375,168.0,11.1,91.0,0.9,18.4,30.6,16.1,n/a,n/a,n/a
1765857869.8143191,1668813032478542517,167.6,11.2,91.2,0.8,18.1,30.7,15.8,n/a,n/a,n/a
1765857869.9894392,1668813032513643448,165.3,11.0,91.4,0.8,18.3,27.7,16.1,n/a,n/a,n/a
1765857870.1619797,1668813032540664231,164.4,11.0,89.2,0.8,17.5,29.6,16.3,n/a,n/a,n/a
1765857870.3337862,1668813032575466352,160.1,11.2,86.9,0.8,17.9,26.2,17.0,n/a,n/a,n/a
1765857870.5011392,1668813032610321398,161.6,11.1,86.4,0.8,20.5,26.0,16.9,n/a,n/a,n/a
1765857870.8412619,1668813032680084529,151.2,10.2,80.6,0.7,15.5,29.2,15.0,n/a,n/a,n/a
1765857870.9998183,1668813032717240903,187.9,11.5,93.8,1.0,27.5,33.7,20.3,n/a,n/a,n/a
1765857871.1951904,1668813032739857986,167.9,11.8,88.0,0.8,18.7,31.0,17.5,n/a,n/a,n/a
1765857871.3705964,1668813032779961989,168.2,12.0,91.8,0.8,18.1,29.4,16.1,n/a,n/a,n/a
1765857871.546275,1668813032813893066,169.5,11.5,91.4,0.8,18.5,31.1,16.1,n/a,n/a,n/a
1765857871.9022064,1668813032878377737,166.3,10.5,85.2,0.7,19.4,35.5,15.0,n/a,n/a,n/a
1765857872.0759816,1668813032908721806,174.6,11.5,93.7,0.9,19.7,29.0,19.9,n/a,n/a,n/a
1765857872.2580793,1668813032944187685,175.8,11.5,94.5,0.9,16.2,32.7,20.0,n/a,n/a,n/a
1765857872.626518,1668813033008916438,168.4,10.6,84.4,0.8,18.8,36.7,17.2,n/a,n/a,n/a
1765857872.802379,1668813033044070925,173.8,11.9,91.8,0.9,17.5,33.0,18.8,n/a,n/a,n/a
1765857872.9836555,1668813033076155603,174.0,12.0,89.7,0.9,16.5,37.2,17.8,n/a,n/a,n/a
1765857873.3527784,1668813033148270188,171.4,11.3,83.8,0.8,17.6,40.3,17.6,n/a,n/a,n/a
1765857873.5318038,1668813033181809408,186.1,11.7,94.0,0.9,19.1,39.3,21.1,n/a,n/a,n/a
1765857873.725373,1668813033217675885,184.9,11.5,95.6,0.9,16.5,39.9,20.4,n/a,n/a,n/a
1765857874.105664,1668813033275679095,165.4,10.9,86.1,1.0,13.8,36.9,16.8,n/a,n/a,n/a
1765857874.2785947,1668813033313398632,194.2,12.2,94.3,1.0,20.4,45.5,20.9,n/a,n/a,n/a
1765857874.4806855,1668813033343986409,183.3,11.8,91.4,1.1,16.9,40.9,21.2,n/a,n/a,n/a
1765857874.8660307,1668813033414461531,161.1,10.6,81.3,0.9,15.6,36.4,16.4,n/a,n/a,n/a
1765857875.0343714,1668813033441801408,184.2,12.0,93.7,1.0,20.7,36.8,20.0,n/a,n/a,n/a
1765857875.2257743,1668813033487104865,183.2,11.6,90.1,1.0,17.1,44.9,18.5,n/a,n/a,n/a
1765857863.522152,1668813031237918172,169.4,10.7,92.7,0.6,18.8,27.0,19.5,10825.2,13,832.7
1765857875.5905156,1668813033550523804,156.8,11.2,85.3,1.1,5.1,31.7,22.4,n/a,n/a,n/a
1765857875.755583,1668813033580813791,167.0,12.4,88.7,1.1,5.0,35.3,24.5,n/a,n/a,n/a
1765857876.1152015,1668813033645086475,158.6,11.2,82.1,1.1,4.6,39.4,20.3,n/a,n/a,n/a
1765857876.2825334,1668813033681036869,173.2,13.4,91.4,1.2,5.5,35.6,25.9,n/a,n/a,n/a
1765857876.6443553,1668813033762844383,180.7,10.6,88.7,0.9,17.2,45.9,17.4,n/a,n/a,n/a
1765857876.8323448,1668813033777383622,201.4,11.9,98.3,1.1,19.1,48.8,22.3,n/a,n/a,n/a
1765857877.2510846,1668813033845040566,188.5,10.8,90.0,0.9,17.5,52.0,17.2,n/a,n/a,n/a
1765857877.4466417,1668813033878370862,191.5,11.6,97.6,1.0,13.7,44.8,22.7,n/a,n/a,n/a
1765857877.6453185,1668813033907704795,188.1,11.8,93.4,1.1,16.9,45.9,19.1,n/a,n/a,n/a
1765857878.0343854,1668813033984430848,181.4,10.5,85.4,1.0,16.9,50.2,17.5,n/a,n/a,n/a
1765857878.2229295,1668813034016415389,198.0,11.6,98.5,1.1,18.3,45.9,22.6,n/a,n/a,n/a
1765857878.4280398,1668813034041253618,202.5,11.8,97.8,1.1,18.7,50.0,23.1,n/a,n/a,n/a
